dataset;classifier;algorithm;feature-count;auc-score;auc-std;accu-score;accu-std
cirrhosis;random-forest;chi2;90;0.947;0.048;0.867;0.058
cirrhosis;random-forest;chi2;100;0.952;0.041;0.871;0.066
cirrhosis;random-forest;chi2;110;0.954;0.037;0.875;0.07
cirrhosis;random-forest;chi2;120;0.957;0.038;0.866;0.061
cirrhosis;random-forest;chi2;130;0.948;0.048;0.862;0.052
cirrhosis;random-forest;chi2;140;0.951;0.045;0.875;0.054
cirrhosis;random-forest;chi2;150;0.953;0.044;0.875;0.064
cirrhosis;random-forest;chi2;160;0.955;0.041;0.875;0.061
cirrhosis;random-forest;chi2;170;0.952;0.043;0.875;0.064
cirrhosis;random-forest;chi2;180;0.956;0.041;0.88;0.062
cirrhosis;random-forest;chi2;190;0.957;0.042;0.875;0.067
cirrhosis;random-forest;chi2;200;0.951;0.042;0.862;0.068
cirrhosis;random-forest;multisurf;10;0.86;0.086;0.785;0.069
cirrhosis;random-forest;multisurf;20;0.918;0.048;0.858;0.061
cirrhosis;random-forest;multisurf;30;0.943;0.046;0.875;0.041
cirrhosis;random-forest;multisurf;40;0.94;0.043;0.866;0.041
cirrhosis;random-forest;multisurf;50;0.942;0.046;0.862;0.041
cirrhosis;random-forest;multisurf;60;0.945;0.043;0.858;0.057
cirrhosis;random-forest;multisurf;70;0.937;0.048;0.849;0.058
cirrhosis;random-forest;multisurf;80;0.941;0.044;0.849;0.051
cirrhosis;random-forest;multisurf;90;0.94;0.045;0.858;0.057
cirrhosis;random-forest;multisurf;100;0.946;0.047;0.871;0.066
cirrhosis;random-forest;multisurf;110;0.944;0.042;0.862;0.056
cirrhosis;random-forest;multisurf;120;0.942;0.047;0.862;0.059
cirrhosis;random-forest;multisurf;130;0.946;0.043;0.867;0.051
cirrhosis;random-forest;multisurf;140;0.944;0.044;0.867;0.054
cirrhosis;random-forest;multisurf;150;0.946;0.041;0.867;0.047
cirrhosis;random-forest;multisurf;160;0.948;0.045;0.858;0.06
cirrhosis;random-forest;multisurf;170;0.945;0.048;0.871;0.059
cirrhosis;random-forest;multisurf;180;0.942;0.045;0.862;0.059
cirrhosis;random-forest;multisurf;190;0.949;0.045;0.867;0.061
cirrhosis;random-forest;multisurf;200;0.945;0.05;0.862;0.056
cirrhosis;random-forest;boruta;36;0.957;0.033;0.875;0.058
obesity;svm;random-forest;10;0.657;0.116;0.632;0.054
obesity;svm;random-forest;20;0.608;0.1;0.62;0.034
obesity;svm;random-forest;30;0.586;0.097;0.636;0.016
obesity;svm;random-forest;40;0.564;0.119;0.656;0.033
